oci,citing,cited,creation,timespan,journal_sc,author_sc
060310295-062303590987,omid:br/060310295,omid:br/062303590987,2018-08-24,,yes,yes
060310296-062303590987,omid:br/060310296,omid:br/062303590987,2018-08-24,,yes,yes
060317952-06104030704,omid:br/060317952,omid:br/06104030704,2019-03-28,,yes,yes
060317953-06104030704,omid:br/060317953,omid:br/06104030704,2019-03-28,,yes,yes
0603926665-06180334360,omid:br/0603926665,omid:br/06180334360,2015-05-26,P2Y0M16D,no,no
0603926682-06103146176,omid:br/0603926682,omid:br/06103146176,2018-12-07,P18Y,no,no
0603926682-06160449684,omid:br/0603926682,omid:br/06160449684,2018-12-07,P5Y7M18D,no,no
0603927919-0640196445,omid:br/0603927919,omid:br/0640196445,2017-05-02,P5Y6M,no,no
0603927919-0603927914,omid:br/0603927919,omid:br/0603927914,2017-05-02,P2Y1M20D,yes,no
0604904485-06101696600,omid:br/0604904485,omid:br/06101696600,2024-12-23,P11Y2M,no,no
0604904485-061702418579,omid:br/0604904485,omid:br/061702418579,2024-12-23,P12Y,no,no
0604906879-06102953563,omid:br/0604906879,omid:br/06102953563,2024-12-23,P12Y,no,no
0604906879-06101678061,omid:br/0604906879,omid:br/06101678061,2024-12-23,P9Y,no,no
0604906879-061902259554,omid:br/0604906879,omid:br/061902259554,2024-12-23,P8Y7M5D,no,no
0604906879-061901761194,omid:br/0604906879,omid:br/061901761194,2024-12-23,P7Y,no,no
0604906879-06702137759,omid:br/0604906879,omid:br/06702137759,2024-12-23,P5Y1M5D,no,no
0604906879-0605721976,omid:br/0604906879,omid:br/0605721976,2024-12-23,,no,no
0604906879-062201974396,omid:br/0604906879,omid:br/062201974396,2024-12-23,P8Y2M22D,no,no
0604944107-06702192896,omid:br/0604944107,omid:br/06702192896,2025-01-03,P16Y,no,no
0604944107-06801162149,omid:br/0604944107,omid:br/06801162149,2025-01-03,P3Y0M7D,yes,no
0604944107-062402086128,omid:br/0604944107,omid:br/062402086128,2025-01-03,P4Y7M30D,no,no
0604944107-061503486683,omid:br/0604944107,omid:br/061503486683,2025-01-03,P2Y11M9D,no,no
0604944107-06902780912,omid:br/0604944107,omid:br/06902780912,2025-01-03,P24Y,no,no
0604944107-0639089237,omid:br/0604944107,omid:br/0639089237,2025-01-03,,no,no
0604944107-06804357014,omid:br/0604944107,omid:br/06804357014,2025-01-03,P1Y8M22D,yes,no
0604944107-06801162501,omid:br/0604944107,omid:br/06801162501,2025-01-03,P22Y10M,yes,no
0604944107-06801272698,omid:br/0604944107,omid:br/06801272698,2025-01-03,P4Y7M12D,no,no
0604944107-062602177384,omid:br/0604944107,omid:br/062602177384,2025-01-03,P13Y,no,no
0604944107-062202200493,omid:br/0604944107,omid:br/062202200493,2025-01-03,P8Y7M0D,no,no
0604944107-061201936072,omid:br/0604944107,omid:br/061201936072,2025-01-03,P8Y3M16D,no,no
0604944107-0625098787,omid:br/0604944107,omid:br/0625098787,2025-01-03,P2Y11M22D,no,no
0604944107-061201935642,omid:br/0604944107,omid:br/061201935642,2025-01-03,P2Y9M22D,no,no
0604944107-062103107544,omid:br/0604944107,omid:br/062103107544,2025-01-03,P7Y5M27D,no,no
0604944107-06801577270,omid:br/0604944107,omid:br/06801577270,2025-01-03,P11Y9M,no,no
0604944107-06102639537,omid:br/0604944107,omid:br/06102639537,2025-01-03,P9Y,no,no
0604944107-061101211766,omid:br/0604944107,omid:br/061101211766,2025-01-03,P25Y8M,no,no
0604944107-062202191255,omid:br/0604944107,omid:br/062202191255,2025-01-03,P6Y4M27D,no,no
0604944107-06801162318,omid:br/0604944107,omid:br/06801162318,2025-01-03,P11Y8M15D,yes,no
0604944107-06801162214,omid:br/0604944107,omid:br/06801162214,2025-01-03,P5Y7M24D,yes,no
0604944107-061301906198,omid:br/0604944107,omid:br/061301906198,2025-01-03,P10Y11M6D,no,no
0604944107-06801162335,omid:br/0604944107,omid:br/06801162335,2025-01-03,P12Y6M6D,yes,no
0605199786-061301437736,omid:br/0605199786,omid:br/061301437736,2024-12-01,P5Y,no,no
0605199786-06310521239,omid:br/0605199786,omid:br/06310521239,2024-12-01,,no,no
0605223587-061501530801,omid:br/0605223587,omid:br/061501530801,2024-12-30,P2Y7M,no,no
0605223587-0604807722,omid:br/0605223587,omid:br/0604807722,2024-12-30,,no,no
0605223587-06280102731,omid:br/0605223587,omid:br/06280102731,2024-12-30,,no,no
0605223587-061104027944,omid:br/0605223587,omid:br/061104027944,2024-12-30,P1Y,no,no
0605223587-061501017754,omid:br/0605223587,omid:br/061501017754,2024-12-30,P3Y0M,no,no
0605223587-06202535011,omid:br/0605223587,omid:br/06202535011,2024-12-30,P3Y5M,no,no
0605223587-061802102466,omid:br/0605223587,omid:br/061802102466,2024-12-30,P4Y8M22D,no,no
